
Randomize
Data size, 10000, 10000, 30000, 30000, 50000, 50000, 100000, 100000, 300000, 300000, 500000, 500000, 
Resulting statics, Running time, Comparisons, Running time, Comparisons, Running time, Comparisons, Running time, Comparisons, Running time, Comparisons, Running time, Comparisons, 
selection-sort, 0.137, 100009999, 0.959, 900029999, 2.659, 2500049999, 7.469, 10000099999, 69.637, 90000299999, 190.24, 250000499999, 
insertion-sort, 0.081, 100009999, 0.826, 900029999, 2.311, 2500049999, 9.294, 10000099999, 83.826, 90000299999, 235.824, 250000499999, 
bubble-sort, 0.328, 100009999, 3.049, 900029999, 8.394, 2500049999, 33.775, 10000099999, 303.803, 90000299999, 843.216, 250000499999, 
shaker-sort, 0.336, 100005001, 3.052, 900015001, 8.514, 2500025001, 34.106, 10000050001, 307.075, 90000150001, 844.029, 250000250001, 
shell-sort, 0, 475175, 0.003, 1554051, 0.006, 2844628, 0.011, 6089190, 0.049, 20001852, 0.075, 33857581, 
heap-sort, 0, 606771, 0.011, 2063324, 0.018, 3612724, 0.041, 7718943, 0.131, 25569379, 0.241, 44483348, 
merge-sort, 0.006, 476441, 0.011, 1573465, 0.019, 2733945, 0.035, 5767897, 0.098, 18708313, 0.098, 32336409, 
quick-sort, 0, 164975, 0.001, 531939, 0.001, 963861, 0.003, 2027703, 0.005, 6358249, 0.011, 10810747, 
counting-sort, 0, 60005, 0, 180005, 0.002, 300005, 0.001, 600005, 0.004, 1800005, 0.005, 3000005, 
radix-sort, 0, 90108, 0.003, 330132, 0.003, 550132, 0.005, 1100132, 0.022, 3900156, 0.036, 6500156, 
flash-sort, 0, 110500, 0, 331500, 0.001, 552500, 0.002, 1105000, 0.007, 3315000, 0.011, 5525000, 

Nearly Sorted
Data size, 10000, 10000, 30000, 30000, 50000, 50000, 100000, 100000, 300000, 300000, 500000, 500000, 
Resulting statics, Running time, Comparisons, Running time, Comparisons, Running time, Comparisons, Running time, Comparisons, Running time, Comparisons, Running time, Comparisons, 
selection-sort, 0.06, 100009999, 0.538, 900029999, 1.346, 2500049999, 5.255, 10000099999, 52.531, 90000299999, 133.616, 250000499999, 
insertion-sort, 0, 151042, 0, 482414, 0.002, 666614, 0.001, 816614, 0.001, 1416614, 0.001, 2016614, 
bubble-sort, 0.059, 100009999, 0.524, 900029999, 1.448, 2500049999, 5.792, 10000099999, 52.265, 90000299999, 145.202, 250000499999, 
shaker-sort, 0, 239863, 0.001, 839812, 0.003, 1599753, 0.003, 3199753, 0.006, 9599753, 0.011, 15999753, 
shell-sort, 0.001, 405673, 0.001, 1319822, 0.002, 2334200, 0.004, 4734202, 0.014, 15470038, 0.021, 25658858, 
heap-sort, 0.002, 670018, 0.005, 2236530, 0.007, 3925159, 0.018, 8364625, 0.053, 27413267, 0.091, 47404775, 
merge-sort, 0.001, 509483, 0.004, 1662849, 0.006, 2837637, 0.013, 5860469, 0.043, 18741893, 0.072, 32136976, 
quick-sort, 0, 154999, 0, 501973, 0.001, 913886, 0.003, 1927727, 0.004, 6058280, 0.007, 10310773, 
counting-sort, 0, 60005, 0, 180005, 0.001, 300005, 0.002, 600005, 0.003, 1800005, 0.007, 3000005, 
radix-sort, 0, 90108, 0.002, 330132, 0.003, 550132, 0.006, 1100132, 0.022, 3900156, 0.035, 6500156, 
flash-sort, 0, 127961, 0, 383961, 0.001, 639961, 0.002, 1279955, 0.006, 3839959, 0.01, 6399959, 
